address,agent_url,description,id,page_number,price,scrape_time,url,beds,latitude,longitude,tenure,travel_time_cw,travel_time_from_strand,travel_time_cp,bedroom_score,tenure_score,price_score,tt_score_cw,tt_score_from_strand,tt_score_cp,total_score
"Kings Wharf, 301 Kingsland Road, Hackney, E8",http://www.rightmove.co.uk/estate-agents/agent/Currell/Hackney---Sales-12602.html,2 bedroom apartment for sale,82987595,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-82987595.html,2,51.537572,-0.077378,Leasehold,22.0,42.0,52.0,0,0,-4.995,10.0,8.666666666666666,-3.5,10.171666666666667
"Lillie Road, Fulham",http://www.rightmove.co.uk/estate-agents/agent/Dexters/Fulham-84794.html,2 bedroom flat for sale,63415050,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-63415050.html,2,51.48552100000001,-0.202152,-,45.0,70.0,39.0,0,0,-4.995,0.0,-20.0,1.5,-23.495
"Salmon Street, LONDON",http://www.rightmove.co.uk/estate-agents/agent/Bryan-Maher-and-Co/Wembley-48194.html,3 bedroom semi-detached house for sale,56943048,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-56943048.html,3,51.575384,-0.268271,Freehold,53.0,71.0,70.0,5,3,-4.995,-8.0,-21.333333333333332,-12.5,-38.82833333333333
"St. Johns Court, Finchley Road, London",http://www.rightmove.co.uk/estate-agents/agent/Sandfords/Regents-Park-45144.html,2 bedroom flat for sale,61089303,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-61089303.html,2,51.546191,-0.179654,Leasehold,44.0,70.0,58.0,0,0,-4.995,0.5,-20.0,-6.5,-30.995
"Drive Mansions, Fulham Road, London, SW6",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Fulham-45899.html,2 bedroom apartment for sale,83161838,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-83161838.html,2,51.472208,-0.209535,Leasehold,49.0,74.0,37.0,0,0,-4.995,-4.0,-25.333333333333332,2.0,-32.32833333333333
"Marlborough Crescent, London, W4",http://www.rightmove.co.uk/estate-agents/agent/Whitman-and-Co/Chiswick-67487.html,2 bedroom flat for sale,83080751,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-83080751.html,2,51.497867,-0.25843499999999997,-,53.0,82.0,52.0,0,0,-4.995,-8.0,-36.0,-3.5,-52.495000000000005
"Northfield Avenue, Ealing, London",http://www.rightmove.co.uk/estate-agents/agent/Grimshaw-and-Co/London-21578.html,3 bedroom house for sale,78681542,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-78681542.html,3,51.498275,-0.31349,-,56.0,85.0,56.0,5,0,-4.995,-11.0,-40.0,-5.5,-56.495000000000005
"Tanner Street, Tanner Street",http://www.rightmove.co.uk/estate-agents/agent/Dexters/London-Bridge-40512.html,2 bedroom flat for sale,72864739,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-72864739.html,2,51.499856,-0.07719,-,17.0,41.0,34.0,0,0,-4.995,10.0,9.333333333333334,2.75,17.088333333333335
"Oakington Road, London",http://www.rightmove.co.uk/estate-agents/agent/YOPA/London-204362.html,2 bedroom flat for sale,63166032,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-63166032.html,2,51.524978000000004,-0.19481500000000002,-,44.0,68.0,53.0,0,0,-4.995,0.5,-17.333333333333332,-4.0,-25.828333333333333
"Melrose Avenue, London, NW2 ",http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,2 bedroom apartment for sale,62618064,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-62618064.html,2,51.553222999999996,-0.22444699999999998,-,54.0,72.0,65.0,0,0,-4.995,-9.0,-22.666666666666664,-10.0,-46.66166666666666
"84 Gordon Road, Peckham,
london, 
SE15 3RG",http://www.rightmove.co.uk/developer/branch/Vanquish-Iconic/Crib-Apartments-Peckham-206627.html,2 bedroom duplex for sale,83052353,3,699000.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-83052353.html,2,51.468086,-0.060426,Leasehold,25.0,39.0,20.0,0,0,-4.9,10.0,10.0,5.0,20.1
"84 Gordon Road, Peckham,
london, 
SE15 3RG",http://www.rightmove.co.uk/developer/branch/Vanquish-Iconic/Crib-Apartments-Peckham-206627.html,2 bedroom apartment for sale,83052608,3,699000.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-83052608.html,2,51.468086,-0.060426,Leasehold,25.0,39.0,20.0,0,0,-4.9,10.0,10.0,5.0,20.1
